word,translate
психоневропатология,psychoneuropathology
пунктуально,"punctually, on the dot"
пятинедельный,"of five weeks, five-week, five-week-old"
равноотстоящий,equidistant
рад-радёшенек,pleased as Punch
радужно,cheerfully
разведённый,"divorced, divorcee, divorce"
раздражительно,"with irritation, in irritation, in a temper, irritably"
размашисто,"boldly, in a sweeping manner"
разобщённо,"apart, separately"
разок-другой,once or twice
ракета-носитель,carrier rocket
рамки,limits
раскованно,"relaxedly, in a relaxed manner"
раскрепощённый,"emancipated, liberated"
распарывание,"ripping, unripping"
рассвело,it is already light
расчётливо,"prudently, economically, sparingly"
рационально,rationally
ре-диез,D sharp
рекогносцировочный,"reconnoitring, reconnaissance"
рекогносцировщик,reconnoitrer
рельефно,"in relief, boldly"
реснички,cilia
республиканство,republicanism
ретиво,zealously
родом,"by origin, by birth"
розно,"apart, separately"
розовато-белый,"pinky-white, pinkish-white"
сам-друг,"with one other, two, not alone but accompanied by another person, double, twice as much"
скатерть-самобранка,magic table-cloth
самодовольно,"complacently, smugly"
самолёт-торпедоносец,torpedo aircraft
самонадеянно,"conceitedly, presumptuously, perkily"
самоотверженно,selflessly
самотёком,by gravity
самотормозящийся,"self-braking, self-catching, self-stopping"
самоуверенно,"with self-confidence, with self-assurance"
сам-пят,"with four others, fivefold"
сам-сём,"with six others, sevenfold"
сам-третей,"with two others, three times as much"
сам-четвёрт,"with three others, fourfold"
сам-шёст,"with five others, sixfold"
саркастически,sarcastic
сверхурочно,overtime
глагол-связка,link-verb
сдельно,by the job
севернее,"to the north, northward, further north"
семью,seven times
силой,by force
силком,by force
сиротливо,lonely
скачками,"by leaps, by fits and starts"
склады,syllables
скопом,"in a crowd, all together, en masse"
скорее,"rather, sooner"
скорей,"rather, sooner"
скученно,"densely, in density, in congestion"
слабовато,rather badly
слащаво,all sugar and honey
слёзно,tearfully
слесарь-инструментальщик,look-maker
слитно,together
случаем,by any chance
совокупно,"jointly, in common"
согласованно,in concord
солидарно,jointly
сомнительно,it is doubtful
сослепа,due to poor sight
сослепу,due to poor sight
сохранно,safely
спортсмен-спелеолог,pot-holer
сплеча,"straight from shoulder, on the spur of the moment"
спроста,"artlessly, with an open heart, without reflection"
спутанно,"confusingly, in a confused way"
спьяна,in a state of drunkenness
сряду,running
стаккато,staccato
стенографический,"stenographic, shorthand"
стенография,"stenography, shorthand"
стереофонический,stereophonic
стоймя,upright
стократ,"a hundred times, hundredfold"
строго-настрого,very strictly
студент-медик,medical student
сызмала,"from ever since, from a since, from a child, since one was a child"
сырьём,raw
так-таки,really
там-сям,here and there
телеграмма-молния,express telegram
телекс,telex
телефильм,telefilm
телефотоаппарат,long-range camera
темнеет,it is getting dark
темным-темно,pitch-dark
угро-финский,Ugro-Finnic
удовлетворительно,"satisfactorily, satisfactory, fair"
уединённо,"solitarily, in solitude"
узникузница,prisoner
уменьшаемое,minuend
умеючи,"skilfully, with skill"
умнее,wiser
уморительно,"it is extremely funny, it makes one rock with laughter"
уранопластика,uranoplastics
урождённая,"nee, born"
успеется,"there is still time, there is no need to hurry"
устои,"foundations, basis"
утром,in the morning
ухабы,pits and bumps
бешенный,"mad, rabid, crazy"
по-гречески,speak in Greek
занозиться,to make trouble with smb; to have trouble with smb
трезвон,"peal, ringing, gossip, rumours, row, shindy"
знакомо,familiar
познавательно,Educational
извините,sorry!
школа-интернат,boarding school
несколькие,"several, some, a few"
ясненько,mmmokay
флексия,inflexion
берегись,"watch out, be careful"
окей,"okay, ok"
ФИО,last name first name patronymic
дано,"given, capable"
шеф-повар,"chef, head-cook"
вагон-холодильник,refrigerator van
позднее,later
четырёхголосный,four-part
пукнуть,fart
запускаться,start up
рискованно,risky
народый,"Popular, folk.; national"
выгорание,burnout
Топтыгин,Bruin
тренерша,"female trainer, female coach"
трёхгодичный,"three-year, triennial"
трёхдневный,"three-day, of three days"
трёхколёсный,three-wheeled
трёхцветный,"three-coloured, of three colours, tricolour, trichromatic"
обалденный,amazing
упёртый,stubborn
фанатичность,fanaticism
феерия,"play, ballet, based on a fairytale"
фартовый,"lucky, fine, smashing"
фарцовщица,"black-marketeer, spiv"
фаршировать,stuff
феминист,feminist
феминистский,feministic
ферментация,fermentation
ферментировать,ferment
фигово,sucks
фиксаж,"fixing solution, fixer"
фиксатор,"pawl, stop, latch, holder"
фиксатуар,"fixative, hair-grease"
фиксатив,fixative
филантропический,philanthropic
филантропия,philanthropy
фильтрат,filtrate
фильтровальный,filter
финишный,finishing
флегматик,phlegmatic person
флейтистка,flutist
фотографически,photographically
хуй,"dick, fuck, fucking"
холестерол,cholesterol
хором,"in chorus, all together"
хрящевой,"cartilaginous, gristly"
худо-бедно,"at the very least, the very smallest"
часом,"sometimes, at times, now and then, by chance"
человековедение,study of human nature
чревато,fraught with
шиворот-навыворот,"topsy-turvy, the wrong way round, upside-down"
шифрованный,"ciphered, written in cipher, cipher, code"
экологичный,eco-friendly
экранирование,"screening, shielding"
южнее,"to the south, southward, further south"
яичница-глазунья,fried eggs
апатитовый,Adjective of апатит
арьергардный,Adjective of арьергард
курдянка,Kurdish woman
человеконенавистник,"man-hater, hater of mankind, misanthrope"
языковедческий,linguistic
друг друга,each other
до свидания,bye (formal)
доброе утро,good morning
добрый день,good day
добрый вечер,good evening
потому что,because
кредитная карта,"credit card, CC"
все,everybody
на самом деле,"actually, as a matter of fact"
меня,genitive of I
вас,you; you
есть,"there is, there are"
это-то,"that is, that's, it's"
добро пожаловать,welcome!
с тех пор,since then
уж,really
тут,here; now
простите,"forgive me, excuse me, sorry"
зовут,to be called
экстремально,extreme
репчатый лук,garden onion
парами,two of ...
вничью,draw (sport)
начиная,"from ..., starting from ..."
экстренная контрацепция,the morning-after pill
специальное предложение,special offer
стыковочный рейс,connecting flight
указатель поворота,"turn indicator, turn signal"
отказано,denied
помедленнее,"slower, more slowly"
гетеросексуал,heterosexual
сверху донизу,from top to bottom
слоновая кость,ivory
приют для животных,animal shelter
приют для беженцев,refugee shelter
